,Is_Holiday,Holiday_Type,OneHourSlot,Month,Year,Weekday,Trend_lag_1,Trend_lag_2,Trend_lag_24,Trend_lag_168,Trend_lag_336,Trend_lag_504,Trend_lag_672,Pred,Actual
5064,0,0,11,11,2023,2,62.58650680049064,62.66332197026058,65.935419236495,57.48435295079541,62.02444404579243,62.164962872525535,65.97756689115836,58.0,62.48138020266155
5065,0,0,12,11,2023,2,62.48138020266155,62.58650680049064,65.94574453747295,58.01528837640869,62.3977894687721,61.95367973985848,66.30606318822507,58.0,62.36608410089144
5066,0,0,13,11,2023,2,62.36608410089144,62.48138020266155,65.82213317163148,58.41250166711399,62.718149659518176,61.76291707309632,66.5482393402722,57.0,62.24246398535841
5067,0,0,14,11,2023,2,62.24246398535841,62.36608410089144,65.59305445447566,58.69147365027944,62.95509175061792,61.61397185794078,66.74283319721383,57.0,62.11654881164974
5068,0,0,15,11,2023,2,62.11654881164974,62.24246398535841,65.2743167002844,58.85780041016999,63.092979605507736,61.49929519819276,66.92953375313209,57.0,61.98783857327763
5069,0,0,16,11,2023,2,61.98783857327763,62.11654881164974,64.88203034755166,58.93227777362444,63.133363155814266,61.3939785952326,67.12469798523975,57.0,61.807717677648185
5070,0,0,17,11,2023,2,61.807717677648185,61.98783857327763,64.45309134627966,58.9391160346119,63.11006202039959,61.296261587722455,67.35471747304243,56.0,61.5556988071499
5071,0,0,18,11,2023,2,61.5556988071499,61.807717677648185,64.01425802570685,58.91565489300223,63.04973906500919,61.22342874667813,67.62501587863838,56.0,61.2182818442034
5072,0,0,19,11,2023,2,61.2182818442034,61.5556988071499,63.56788855351656,58.89373400537752,62.96812544476386,61.18986320712094,67.92102084204261,56.0,60.78525572777756
5073,0,0,20,11,2023,2,60.78525572777756,61.2182818442034,63.13402658719538,58.86570370145987,62.86637670982525,61.1896477134731,68.20973741890785,55.0,60.26080102420574
5074,0,0,21,11,2023,2,60.26080102420574,60.78525572777756,62.73747891115495,58.83198421545788,62.7462911847549,61.21910469042725,68.4520633904998,55.0,59.64732946542827
5075,0,0,22,11,2023,2,59.64732946542827,60.26080102420574,62.39825099714165,58.79683027099592,62.60916635098898,61.27086240044721,68.61138874737078,54.0,58.94343844913588
5076,0,0,23,11,2023,2,58.94343844913588,59.64732946542827,62.14379476296612,58.7617923753103,62.45907091935069,61.33694510927826,68.66227247063536,54.0,58.16504556742911
5077,0,0,24,11,2023,2,58.16504556742911,58.94343844913588,61.98086898623664,58.73640082403098,62.292119571505,61.41009339715923,68.5948629528724,53.0,57.33416705575272
5078,0,0,1,11,2023,3,57.33416705575272,58.16504556742911,61.9037833928539,58.74454559597152,62.09754161256914,61.49960091587048,68.40327669699099,58.0,56.47436336462375
5079,0,0,2,11,2023,3,56.47436336462375,57.33416705575272,61.92924182413606,58.78348936912602,61.86757103455776,61.63288966489301,68.10372979860483,58.0,55.62158937546732
5080,0,0,3,11,2023,3,55.62158937546732,56.47436336462375,62.045469754300434,58.8236697141718,61.59945740952018,61.810795287463776,67.72190952583769,58.0,54.80075227121438
5081,0,0,4,11,2023,3,54.80075227121438,55.62158937546732,62.21430711573928,58.83404315238524,61.27792230149201,62.03638358014268,67.28378436919219,57.0,54.03718739119192
5082,0,0,5,11,2023,3,54.03718739119192,54.80075227121438,62.38728628774526,58.7944332908607,60.89265188155028,62.30246389197967,66.79920070325717,57.0,53.33654549130076
5083,0,0,6,11,2023,3,53.33654549130076,54.03718739119192,62.538948607115934,58.69512544675095,60.45134975751332,62.59088559166711,66.28595658209774,56.0,52.68395062199667
5084,0,0,7,11,2023,3,52.68395062199667,53.33654549130076,62.644309671692696,58.538796226038144,59.96758704685386,62.873231834942686,65.77030277201804,56.0,52.08854045027597
5085,0,0,8,11,2023,3,52.08854045027597,52.68395062199667,62.68602741195102,58.34409209178151,59.45445764584527,63.13241975432727,65.28766284140946,55.0,51.565515321784304
5086,0,0,9,11,2023,3,51.565515321784304,52.08854045027597,62.66332197026058,58.138987579789934,58.93339657481696,63.36563334703837,64.86201833192608,55.0,51.11740109383201
5087,0,0,10,11,2023,3,51.11740109383201,51.565515321784304,62.58650680049064,57.94808359976728,58.43398995811705,63.57820135185091,64.52624979776394,54.0,50.74923450896802
5088,0,0,11,11,2023,3,50.74923450896802,51.11740109383201,62.48138020266155,57.78129463402086,57.97936979351754,63.76333604940805,64.29661749645534,54.0,50.46302341055773
5089,0,0,12,11,2023,3,50.46302341055773,50.74923450896802,62.36608410089144,57.63048326115435,57.59097461699076,63.89827515353338,64.16260109501113,53.0,50.25908427938006
5090,0,0,13,11,2023,3,50.25908427938006,50.46302341055773,62.24246398535841,57.48387391918239,57.28755705545324,63.95999712273508,64.08724871742778,53.0,50.150650578432376
5091,0,0,14,11,2023,3,50.150650578432376,50.25908427938006,62.11654881164974,57.33302133613807,57.07317556653189,63.94732051855304,64.02191458785111,52.0,50.13366560818577
5092,0,0,15,11,2023,3,50.13366560818577,50.150650578432376,61.98783857327763,57.203906826494965,56.93950617778344,63.8768726724719,63.92796221421153,52.0,50.17718294994712
5093,0,0,16,11,2023,3,50.17718294994712,50.13366560818577,61.807717677648185,57.11064484300641,56.86861483886577,63.76332731442741,63.76101951996943,52.0,50.259352816380265
5094,0,0,17,11,2023,3,50.259352816380265,50.17718294994712,61.5556988071499,57.0483152935709,56.85027647196368,63.621857503964335,63.514213907924905,51.0,50.361357592943705
5095,0,0,18,11,2023,3,50.361357592943705,50.259352816380265,61.2182818442034,57.005405026930056,56.87713092272532,63.46040269229662,63.21168948381203,51.0,50.46833030735139
5096,0,0,19,11,2023,3,50.46833030735139,50.361357592943705,60.78525572777756,56.97322033381455,56.94020031020458,63.27222881669058,62.88589531741378,51.0,50.5767734053542
5097,0,0,20,11,2023,3,50.5767734053542,50.46833030735139,60.26080102420574,56.95213478769703,57.051732302623336,63.07176018631356,62.582712075262336,50.0,50.69205353075929
5098,0,0,21,11,2023,3,50.69205353075929,50.5767734053542,59.64732946542827,56.94453259847464,57.22101111560144,62.883057818901314,62.35351549339578,50.0,50.81579561296152
5099,0,0,22,11,2023,3,50.81579561296152,50.69205353075929,58.94343844913588,56.95575367953183,57.45715074596022,62.73231232769866,62.246374203076286,50.0,50.94887299912498
5100,0,0,23,11,2023,3,50.94887299912498,50.81579561296152,58.16504556742911,56.9901202937358,57.77491350463327,62.63794540180657,62.29385311456613,49.0,51.0932993485204
5101,0,0,24,11,2023,3,51.0932993485204,50.94887299912498,57.33416705575272,57.04351982183037,58.17597089453674,62.61652361460907,62.50385676858346,49.0,51.25188643375701
5102,0,0,1,11,2023,4,51.25188643375701,51.0932993485204,56.47436336462375,57.11744846758474,58.64736934908322,62.69039301892233,62.88975351576454,55.0,51.41904886232022
5103,0,0,2,11,2023,4,51.41904886232022,51.25188643375701,55.62158937546732,57.185963390932095,59.149258717328415,62.84374938578061,63.42269437862387,55.0,51.58686624030619
5104,0,0,3,11,2023,4,51.58686624030619,51.41904886232022,54.80075227121438,57.2209595045713,59.59539942405829,63.03856991707348,63.99921273165212,54.0,51.74316845562683
5105,0,0,4,11,2023,4,51.74316845562683,51.58686624030619,54.03718739119192,57.19910495008902,59.91509898313056,63.21926473718249,64.52441457906518,54.0,51.90111082924368
5106,0,0,5,11,2023,4,51.90111082924368,51.74316845562683,53.33654549130076,57.10289128401647,60.06120904241832,63.33194181302948,64.92601307133562,54.0,52.07833097598425
5107,0,0,6,11,2023,4,52.07833097598425,51.90111082924368,52.68395062199667,56.93951592447801,60.017415081237466,63.341923154088,65.16078391110577,54.0,52.27116780908997
5108,0,0,7,11,2023,4,52.27116780908997,52.07833097598425,52.08854045027597,56.72681548645342,59.799164424576375,63.24024500029581,65.23415005900372,53.0,52.46268441280663
