,Is_Holiday,Holiday_Type,OneHourSlot,Month,Year,Weekday,Seasonal_lag_1,Seasonal_lag_2,Seasonal_lag_24,Seasonal_lag_168,Seasonal_lag_336,Seasonal_lag_504,Seasonal_lag_672,Pred,Actual
2783,1,15,10,7,2023,5,145.62405563788664,42.384015655467074,82.95666069241038,89.14628585325454,99.14369187244702,106.09825919827172,101.9068697178786,81.0,82.90447060133168
2784,1,15,11,7,2023,5,82.90447060133168,145.62405563788664,31.889233184215577,32.90099324789423,35.830931884743,35.2760282825441,33.708574270571816,29.0,32.716842413135026
2785,1,15,12,7,2023,5,32.716842413135026,82.90447060133168,3.2193644122535483,-2.5200677495273123,-5.549066686553244,-0.6934993203193338,2.526414817799957,1.0,4.141441173599549
2786,1,15,13,7,2023,5,4.141441173599549,32.716842413135026,15.648393111550105,14.794152766552148,15.964665649832162,17.42304288408649,12.084512637143703,13.0,16.460757673182957
2787,1,15,14,7,2023,5,16.460757673182957,4.141441173599549,-3.4117678750513023,-2.9507989281842977,0.4404274537992504,-0.4862655911089953,-2.5167570708866447,-7.0,-2.688706480331121
2788,1,15,15,7,2023,5,-2.688706480331121,16.460757673182957,-5.143060389864513,-10.681638776094786,-13.543450365180975,-15.811326429942296,-12.050832664341856,-10.0,-5.2595575858808585
2789,1,15,16,7,2023,5,-5.2595575858808585,-2.688706480331121,-9.479928787731293,-5.599436152019509,-10.128930692294574,-12.62093195452596,-5.863881833517303,-13.0,-10.739174527775043
2790,1,15,17,7,2023,5,-10.739174527775043,-5.2595575858808585,-7.090319149130521,-5.622544429243908,-8.631965033737961,-8.29546878460323,-2.2639498083158216,-10.0,-7.363055534088244
2791,1,15,18,7,2023,5,-7.363055534088244,-10.739174527775043,37.66572768071361,22.829460149872755,13.785717301000169,18.281940463252536,28.637225099887644,32.0,39.6901840683456
2792,1,15,19,7,2023,5,39.6901840683456,-7.363055534088244,53.64360715056738,61.11603234365002,57.83362020939147,55.93098596587616,36.82591012419178,53.0,51.536177869627046
2793,1,15,20,7,2023,5,51.536177869627046,39.6901840683456,22.73652618153468,13.701329423801113,10.6102162068014,10.811360230033069,17.67703646486467,18.0,22.399688223039632
2794,1,15,21,7,2023,5,22.399688223039632,51.536177869627046,-2.9008474820836563,0.3358009093578316,3.889660004585073,12.318932333195065,9.89055398215573,-4.0,-2.9714930231021874
2795,1,15,22,7,2023,5,-2.9714930231021874,22.399688223039632,-13.546186693052448,-9.85194691380582,-5.357761295103233,-4.639628238664439,-8.98325127345403,-16.0,-14.11203759740575
2796,1,15,23,7,2023,5,-14.11203759740575,-2.9714930231021874,-5.730973254666943,-3.5689212436958706,-4.69827587655993,-11.109046051024563,-9.999500860850732,-10.0,-6.866848934383747
2797,1,15,24,7,2023,5,-6.866848934383747,-14.11203759740575,-41.96675156372809,-38.94792602536274,-33.30560822782974,-33.05956814738398,-34.74635548448124,-45.0,-41.88712880381793
2798,0,0,1,7,2023,6,-41.88712880381793,-6.866848934383747,-56.68908700010807,-54.62160262901551,-55.51418098200574,-56.8626840729227,-56.97590664934254,-58.0,-57.20312925713088
2799,0,0,2,7,2023,6,-57.20312925713088,-41.88712880381793,-63.747588948973565,-61.86670380209429,-62.67488317081222,-64.46723296206645,-64.2288252614195,-65.0,-64.19334565976706
2800,0,0,3,7,2023,6,-64.19334565976706,-57.20312925713088,-64.09263877850574,-62.08588478406774,-62.73565666468305,-64.54275361876714,-64.33561989505102,-66.0,-64.52705853676956
2801,0,0,4,7,2023,6,-64.52705853676956,-64.19334565976706,-64.10581322239779,-62.08864684836633,-62.721375943455,-64.53988349564972,-64.34005534022864,-66.0,-64.54340664866744
2802,0,0,5,7,2023,6,-64.54340664866744,-64.52705853676956,-57.41870741725428,-56.16287008965095,-57.76891196273001,-59.40413690697967,-57.258719014786735,-60.0,-57.786454185455
2803,0,0,6,7,2023,6,-57.786454185455,-64.54340664866744,-38.46946542565758,-36.08475645019459,-36.32724708757841,-39.01193661010917,-34.82249304893364,-43.0,-38.889313395430655
2804,0,0,7,7,2023,6,-38.889313395430655,-57.786454185455,-2.087600629518369,-3.647352052313438,-1.016701741705953,-0.8569314565087781,-3.8001728236695937,-8.0,-1.8703709969191
2805,0,0,8,7,2023,6,-1.8703709969191,-38.889313395430655,42.384015655467074,38.7371006761864,35.15785973140233,35.24859317817669,34.230394739205245,38.0,42.939895476960274
2806,0,0,9,7,2023,6,42.939895476960274,-1.8703709969191,145.62405563788664,141.68486920972992,148.45893720396057,146.35730161824722,143.85710984579367,136.0,148.04828166045343
2807,0,0,10,7,2023,6,148.04828166045343,42.939895476960274,82.90447060133168,88.17095185727773,97.96149136558464,105.8113921686566,102.52255818130968,82.0,83.20329500240834
2808,0,0,11,7,2023,6,83.20329500240834,148.04828166045343,32.716842413135026,31.850064977977294,35.5978249245378,35.50411014143639,33.96506804663682,30.0,33.21450185666903
2809,0,0,12,7,2023,6,33.21450185666903,83.20329500240834,4.141441173599549,-1.6379005703240217,-5.6007134296575325,-1.598429276012476,2.245159772825188,2.0,4.89063518482329
2810,0,0,13,7,2023,6,4.89063518482329,33.21450185666903,16.460757673182957,14.301301376551114,15.959043534154915,17.123762464161306,12.84378514489555,13.0,17.091962671858333
